datetime,inflow_mean,inflow_top10,inflow_total
2023-09-12T04:00:00Z,2.80388381,832.38203672,1071.08361642
2023-09-12T05:00:00Z,1.14822396,424.09245049,510.95966317
2023-09-12T06:00:00Z,1.27374191,762.61620552,1061.02701343
2023-09-12T07:00:00Z,0.24103673,119.67917411,140.28337603
2023-09-12T08:00:00Z,1.00323631,831.67158919,1055.40459841
2023-09-12T09:00:00Z,0.26370358,167.52123623,214.65471315
2023-09-12T10:00:00Z,0.78078348,665.10557041,816.69951874
2023-09-12T11:00:00Z,0.21373842,147.76829409,258.62348579
2023-09-12T12:00:00Z,1.25940664,975.1209025,1431.94534979
2023-09-12T13:00:00Z,0.28925047,166.30716626,203.05382792
2023-09-12T14:00:00Z,1.23508523,645.64592121,815.15625289
2023-09-12T15:00:00Z,0.12270905,88.23694834,168.97036829
2023-09-12T16:00:00Z,0.16515446,120.7401202,176.5501142
2023-09-12T17:00:00Z,0.9289061,1004.93458145,1255.88105189
2023-09-12T18:00:00Z,0.22221541,160.84922689,243.32587337
2023-09-12T19:00:00Z,0.56217668,312.43389149,347.98736706
2023-09-12T20:00:00Z,0.360648,288.00536983,362.45124095
2023-09-12T21:00:00Z,0.17411853,113.67397212,154.44313536
2023-09-12T22:00:00Z,0.32170712,303.39918785,404.70755598
2023-09-12T23:00:00Z,0.11546029,41.3116386,86.13337816
2023-09-13T00:00:00Z,1.02482808,660.60904584,800.39072766
2023-09-13T01:00:00Z,0.25489706,91.31150517,115.97816043
2023-09-13T02:00:00Z,1.6580561,635.17114305,804.15720788
2023-09-13T03:00:00Z,0.31160904,96.01344597,119.0346545
2023-09-13T04:00:00Z,1.08736887,430.26159762,492.57809762
2023-09-13T05:00:00Z,0.09058131,20.67672549,37.22891657
2023-09-13T06:00:00Z,0.74240355,477.91740007,583.52918851
2023-09-13T07:00:00Z,0.0365693,3.91789877,11.40962294
2023-09-13T08:00:00Z,0.08903029,52.52426269,96.86495077
2023-09-13T09:00:00Z,1.16200453,510.72493531,623.99643307
2023-09-13T10:00:00Z,0.68081544,716.84420055,910.93105378
2023-09-13T11:00:00Z,0.09492647,35.50076482,75.18176675
2023-09-13T12:00:00Z,0.59253566,579.41650465,726.44871801
2023-09-13T13:00:00Z,0.10109927,52.96798008,89.27065169
2023-09-13T14:00:00Z,0.08751001,47.41957705,71.05812881
2023-09-13T15:00:00Z,0.11772596,85.71095988,133.97214052
2023-09-13T16:00:00Z,0.91103312,740.23520484,1416.65650827
2023-09-13T17:00:00Z,0.27254786,104.80786579,144.17781649
2023-09-13T18:00:00Z,0.24593136,285.9572012,409.47571718
2023-09-13T19:00:00Z,0.10171962,59.6421232,132.54066676
2023-09-13T20:00:00Z,0.73457969,621.86843769,709.60398501
2023-09-13T21:00:00Z,0.12500983,56.76904752,86.25677957
2023-09-13T22:00:00Z,0.54275604,460.22951167,526.47335654
2023-09-13T23:00:00Z,0.08769671,20.53009405,71.56051723
2023-09-14T00:00:00Z,0.41830735,158.00565727,190.32984262
2023-09-14T01:00:00Z,0.10897208,14.494042,23.86488628
2023-09-14T02:00:00Z,1.15047415,648.08930476,929.58310927
2023-09-14T03:00:00Z,0.27794782,75.22359496,93.94636155
2023-09-14T04:00:00Z,1.49974455,648.81041702,784.36639842
2023-09-14T05:00:00Z,0.56629195,268.77903163,293.33922798
2023-09-14T06:00:00Z,0.92075645,551.68744286,701.61641437
2023-09-14T07:00:00Z,0.09440476,43.21358683,80.24404583
2023-09-14T08:00:00Z,1.12655425,741.16900378,857.30778083
2023-09-14T09:00:00Z,0.11667535,60.95690568,91.1234472
2023-09-14T10:00:00Z,0.65465574,459.07294739,489.68249043
2023-09-14T11:00:00Z,0.24173853,259.34247192,334.56612044
2023-09-14T12:00:00Z,0.41777922,339.10074613,420.28589811
2023-09-14T13:00:00Z,0.85107655,785.5946024,1038.31338968
2023-09-14T14:00:00Z,0.67343696,579.06460409,622.25575374
2023-09-14T15:00:00Z,0.82098463,623.69070166,886.6634037
2023-09-14T16:00:00Z,0.4505591,504.21352278,559.143842
2023-09-14T17:00:00Z,0.64008518,682.96706705,935.80452864
2023-09-14T18:00:00Z,0.34720867,364.21588759,423.59458065
2023-09-14T19:00:00Z,0.34398054,376.51198915,513.56295046
2023-09-14T20:00:00Z,0.28587843,193.55102873,265.29518302
2023-09-14T21:00:00Z,0.12037926,78.92423316,113.6380178
2023-09-14T22:00:00Z,0.44267806,344.04496736,416.5600529
2023-09-14T23:00:00Z,0.19062762,78.44736321,107.70460335
2023-09-15T00:00:00Z,0.35083276,204.3092774,253.30125416
2023-09-15T01:00:00Z,0.14049496,37.61590968,65.04916729
2023-09-15T02:00:00Z,1.53846561,752.2714768,806.15598142
2023-09-15T03:00:00Z,0.36528472,112.699496,144.65274956
2023-09-15T04:00:00Z,1.2502534,495.42696628,600.12163304
2023-09-15T05:00:00Z,0.07961063,19.41274676,39.4868711
