datetime,open,high,low,close,volume,turnover
2025-11-26T17:00:00Z,87792.3,89957.0,87665.8,89809.2,11589.421,1031458143.2562
2025-11-26T18:00:00Z,89809.2,90385.6,89640.0,90108.0,7061.059,635640792.2704
2025-11-26T19:00:00Z,90108.0,90164.7,89700.1,89926.7,2771.868,249157606.2558
2025-11-26T20:00:00Z,89926.7,90088.7,89468.1,89820.0,2710.271,243396609.4261
2025-11-26T21:00:00Z,89820.0,90472.9,89757.6,90151.5,3105.388,279945188.4476
2025-11-26T22:00:00Z,90151.5,90649.9,90080.7,90333.8,2200.472,198769314.4304
2025-11-26T23:00:00Z,90333.8,90560.0,90267.0,90427.0,1398.356,126440459.6961
2025-11-27T00:00:00Z,90427.0,90540.0,90025.0,90433.0,2408.284,217412090.4638
2025-11-27T01:00:00Z,90433.0,91229.6,90326.1,91093.0,3749.779,340415692.7733
2025-11-27T02:00:00Z,91093.0,91848.8,90826.0,91336.0,6023.493,550873529.5171
2025-11-27T03:00:00Z,91336.0,91555.6,90969.6,91037.0,3345.531,305109918.9598
2025-11-27T04:00:00Z,91037.0,91306.7,91005.2,91222.1,1478.556,134782844.2347
2025-11-27T05:00:00Z,91222.1,91499.0,90849.4,90928.0,2599.394,236883156.0706
2025-11-27T06:00:00Z,90928.0,91394.8,90919.2,91201.5,1681.789,153409050.6757
2025-11-27T07:00:00Z,91201.5,91458.9,91090.8,91362.0,1056.672,96493284.7119
2025-11-27T08:00:00Z,91362.0,91495.0,91170.8,91441.5,1225.519,111941899.7612
2025-11-27T09:00:00Z,91441.5,91902.7,91424.3,91532.2,3442.617,315626304.6485
2025-11-27T10:00:00Z,91532.2,91710.7,91310.0,91569.4,2024.838,185271233.8559
2025-11-27T11:00:00Z,91569.4,91587.2,91259.5,91334.7,1361.84,124490147.0429
2025-11-27T12:00:00Z,91334.7,91416.0,90881.9,90950.3,2668.569,243227347.0293
2025-11-27T13:00:00Z,90950.3,91039.6,90410.7,90809.2,4941.351,448170364.6037
2025-11-27T14:00:00Z,90809.2,90927.3,90512.2,90740.3,2308.43,209382375.3137
2025-11-27T15:00:00Z,90740.3,90932.4,90565.0,90908.0,2665.333,242018214.545
2025-11-27T16:00:00Z,90908.0,91517.1,90796.5,91405.3,4295.542,391660855.3994
2025-11-27T17:00:00Z,91405.3,91595.1,91260.5,91435.0,1587.963,145158443.1199
2025-11-27T18:00:00Z,91435.0,91800.0,91293.7,91730.3,2113.42,193536017.3003
2025-11-27T19:00:00Z,91730.3,91730.3,91451.1,91484.4,1307.318,119718823.5586
2025-11-27T20:00:00Z,91484.4,91566.5,91349.5,91387.6,1264.176,115577604.0669
2025-11-27T21:00:00Z,91387.6,91551.2,91176.8,91375.2,919.754,84051138.9691
2025-11-27T22:00:00Z,91375.2,91556.5,91050.0,91274.1,1466.947,133929692.2845
2025-11-27T23:00:00Z,91274.1,91521.2,91159.3,91284.2,890.59,81343339.6983
2025-11-28T00:00:00Z,91284.2,91378.8,91012.3,91164.0,1281.473,116836849.8537
2025-11-28T01:00:00Z,91164.0,91164.0,90740.0,90746.9,1924.362,174919542.236
2025-11-28T02:00:00Z,90746.9,91087.8,90603.3,91028.3,2177.863,197739432.061
2025-11-28T03:00:00Z,91028.3,91250.0,90951.5,91161.7,1031.652,93991343.317
2025-11-28T04:00:00Z,91161.7,91445.0,91073.1,91383.4,1063.592,97121202.8955
2025-11-28T05:00:00Z,91383.4,91683.6,91259.1,91569.8,1891.841,173120760.8311
2025-11-28T06:00:00Z,91569.8,91569.8,91102.0,91246.1,1667.784,152320441.0588
2025-11-28T07:00:00Z,91246.1,91522.0,90810.0,90851.9,2899.578,264167019.0645
2025-11-28T08:00:00Z,90851.9,91671.9,90845.0,91639.0,2944.058,268652919.7391
2025-11-28T09:00:00Z,91639.0,91833.9,91378.3,91556.9,2453.748,224694659.9374
2025-11-28T10:00:00Z,91556.9,91825.0,91429.0,91801.0,1582.744,145005063.1712
2025-11-28T11:00:00Z,91801.0,91977.6,91000.0,91371.6,4586.784,419284394.5546
2025-11-28T12:00:00Z,91371.6,91641.0,91347.7,91472.9,1826.132,167059659.8146
2025-11-28T13:00:00Z,91472.9,92600.0,91319.2,92316.9,5691.929,523519380.459
2025-11-28T14:00:00Z,92316.9,93081.0,91768.4,92199.9,10898.702,1007094937.4949
2025-11-28T15:00:00Z,92199.9,92750.1,91925.8,92315.7,5165.309,477240433.1259
2025-11-28T16:00:00Z,92315.7,92345.0,90800.0,90876.1,8300.626,758595200.5781
2025-11-28T17:00:00Z,90876.1,91149.0,90151.9,90605.1,7317.109,662780636.5773
2025-11-28T18:00:00Z,90605.1,90911.0,90363.7,90773.5,2912.575,264064765.5126
2025-11-28T19:00:00Z,90773.5,91153.0,90769.9,91100.8,1493.895,135963576.8321
2025-11-28T20:00:00Z,91100.8,91178.8,90811.8,91133.8,1705.949,155279525.5172
2025-11-28T21:00:00Z,91133.8,91179.0,90809.1,90813.5,1274.794,116052697.2532
2025-11-28T22:00:00Z,90813.5,91093.9,90628.9,91069.1,1905.305,173087274.2771
2025-11-28T23:00:00Z,91069.1,91149.2,90837.4,90845.7,907.76,82608445.5951
2025-11-29T00:00:00Z,90845.7,90932.9,90720.2,90845.2,908.832,82561366.244
2025-11-29T01:00:00Z,90845.2,91071.3,90735.2,90828.3,797.541,72503477.1945
2025-11-29T02:00:00Z,90828.3,90887.4,90464.6,90748.9,1253.04,113584057.43
2025-11-29T03:00:00Z,90748.9,90826.0,90605.0,90626.4,636.743,57755889.9941
2025-11-29T04:00:00Z,90626.4,90860.9,90502.4,90855.3,808.783,73322989.5509
2025-11-29T05:00:00Z,90855.3,90895.5,90679.5,90715.9,584.644,53087588.2624
2025-11-29T06:00:00Z,90715.9,90786.3,90263.0,90515.0,2137.962,193433337.8425
2025-11-29T07:00:00Z,90515.0,90625.0,90324.2,90516.6,1164.632,105345649.2317
2025-11-29T08:00:00Z,90516.6,90691.0,90430.8,90591.5,1185.002,107353763.8962
2025-11-29T09:00:00Z,90591.5,90630.0,90453.9,90518.4,532.274,48189392.8244
2025-11-29T10:00:00Z,90518.4,90607.3,90325.8,90497.0,870.703,78803533.1084
2025-11-29T11:00:00Z,90497.0,90640.0,90404.6,90630.0,688.124,62298798.8312
2025-11-29T12:00:00Z,90630.0,90759.5,90482.8,90567.1,1309.586,118681070.8133
2025-11-29T13:00:00Z,90567.1,90787.5,90540.8,90736.7,876.441,79475164.0516
2025-11-29T14:00:00Z,90736.7,90736.7,90574.8,90582.3,578.623,52446098.3076
2025-11-29T15:00:00Z,90582.3,91089.0,90582.3,91033.6,2004.658,182247401.2272
2025-11-29T16:00:00Z,91033.6,91128.9,90820.1,90963.3,1000.798,91050459.91
2025-11-29T17:00:00Z,90963.3,90995.2,90384.5,90387.1,2562.198,232129055.4654
2025-11-29T18:00:00Z,90387.1,90686.9,90071.3,90649.4,3356.436,303323483.0114
2025-11-29T19:00:00Z,90649.4,90823.1,90559.9,90603.3,1367.257,123962118.6267
2025-11-29T20:00:00Z,90603.3,91014.4,90346.8,90927.2,1850.826,167714145.5778
2025-11-29T21:00:00Z,90927.2,91033.8,90769.5,90972.5,1026.3,93307529.4562
2025-11-29T22:00:00Z,90972.5,90972.6,90666.7,90723.8,917.787,83323286.1089
2025-11-29T23:00:00Z,90723.8,90864.6,90649.0,90766.9,433.89,39383601.9049
2025-11-30T00:00:00Z,90766.9,90908.1,90731.8,90846.0,342.867,31144946.1194
2025-11-30T01:00:00Z,90846.0,91031.8,90818.9,90871.7,743.878,67645063.0079
2025-11-30T02:00:00Z,90871.7,90998.0,90702.3,90756.0,606.82,55115968.3212
2025-11-30T03:00:00Z,90756.0,90888.0,90410.0,90881.6,1394.826,126397443.3773
2025-11-30T04:00:00Z,90881.6,90940.0,90750.0,90814.4,553.492,50289275.643
2025-11-30T05:00:00Z,90814.4,90814.4,90622.0,90738.8,517.833,46969518.9073
2025-11-30T06:00:00Z,90738.8,90900.0,90668.3,90847.0,501.607,45558915.0062
2025-11-30T07:00:00Z,90847.0,91000.0,90810.5,90922.3,861.732,78340775.3472
2025-11-30T08:00:00Z,90922.3,91385.0,90880.9,91119.9,2762.544,251712120.8844
2025-11-30T09:00:00Z,91119.9,91590.0,91073.1,91351.0,2622.254,239574842.9301
2025-11-30T10:00:00Z,91351.0,91415.2,91141.0,91188.0,745.057,67976301.6383
2025-11-30T11:00:00Z,91188.0,91362.7,90889.6,91002.7,1450.325,132095216.9697
2025-11-30T12:00:00Z,91002.7,91499.0,90943.8,91434.0,1489.016,135894931.8189
2025-11-30T13:00:00Z,91434.0,91963.7,91355.6,91728.6,3278.458,300676429.9833
2025-11-30T14:00:00Z,91728.6,91751.6,91200.3,91446.5,1752.351,160213154.3456
2025-11-30T15:00:00Z,91446.5,91570.5,91275.0,91398.4,782.855,71561569.123
2025-11-30T16:00:00Z,91398.4,91818.8,91354.1,91779.2,1350.256,123746397.8331
2025-11-30T17:00:00Z,91779.2,91779.2,91260.0,91433.6,1330.265,121623778.6791
2025-11-30T18:00:00Z,91433.6,91441.0,91000.0,91415.1,1835.446,167513414.2179
2025-11-30T19:00:00Z,91415.1,91453.3,91250.0,91412.7,469.431,42894511.9559
2025-11-30T20:00:00Z,91412.7,91609.1,91114.3,91269.1,1405.242,128324962.0395
2025-11-30T21:00:00Z,91269.1,91295.6,90834.2,91138.8,1682.313,153146436.8107
2025-11-30T22:00:00Z,91138.8,91306.1,90994.1,91178.4,1009.127,91990358.1951
2025-11-30T23:00:00Z,91178.4,91211.5,90285.5,90308.6,3979.124,360614432.9479
2025-12-01T00:00:00Z,90308.6,90374.4,86919.8,86957.0,19959.267,1766828481.3256
2025-12-01T01:00:00Z,86957.0,87711.9,86888.0,87122.6,6510.767,568710787.7729
2025-12-01T02:00:00Z,87122.6,87462.7,86410.6,86675.0,6173.242,535935722.6814
2025-12-01T03:00:00Z,86675.0,86778.1,86127.4,86322.2,4955.551,428162488.8637
2025-12-01T04:00:00Z,86322.2,86331.4,85650.0,85760.1,5492.433,471903567.3644
2025-12-01T05:00:00Z,85760.1,85983.7,85560.2,85964.2,3081.979,264404269.239
2025-12-01T06:00:00Z,85964.2,86314.0,85926.9,86185.8,3118.91,268582494.2663
2025-12-01T07:00:00Z,86185.8,86517.8,86000.6,86491.9,2588.377,223415519.3228
2025-12-01T08:00:00Z,86491.9,86841.0,86347.5,86811.5,2596.975,224891536.5176
2025-12-01T09:00:00Z,86811.5,86888.0,86463.6,86657.9,2107.589,182697039.9136
2025-12-01T10:00:00Z,86657.9,86787.8,86500.0,86601.0,1200.899,104018478.8379
