datetime,open,high,low,close,volume
2023-11-21T23:00:00Z,36393.1,36441.8,35720.0,35741.1,23953.705
2023-11-22T00:00:00Z,35741.1,36149.8,35613.0,36121.2,11810.847
2023-11-22T01:00:00Z,36121.2,36190.0,36072.0,36096.6,3630.409
2023-11-22T02:00:00Z,36096.6,36320.0,36034.3,36310.7,4021.274
2023-11-22T03:00:00Z,36310.7,36405.8,36268.1,36392.3,3224.573
2023-11-22T04:00:00Z,36392.3,36478.5,36332.9,36428.3,3061.057
2023-11-22T05:00:00Z,36428.3,36492.0,36347.1,36376.8,2243.682
2023-11-22T06:00:00Z,36376.8,36574.9,36376.7,36529.2,3333.215
2023-11-22T07:00:00Z,36529.2,36573.1,36447.1,36448.3,2647.001
2023-11-22T08:00:00Z,36448.3,36589.5,36404.0,36577.8,3365.849
2023-11-22T09:00:00Z,36577.8,36724.1,36521.8,36702.3,4946.853
2023-11-22T10:00:00Z,36702.3,36802.9,36583.9,36681.2,4992.749
2023-11-22T11:00:00Z,36681.2,36689.9,36451.9,36482.4,4568.77
2023-11-22T12:00:00Z,36482.4,36614.8,36462.1,36576.8,3494.583
2023-11-22T13:00:00Z,36576.8,36667.3,36453.0,36608.0,5142.775
2023-11-22T14:00:00Z,36608.0,36674.9,36281.5,36405.9,7915.05
2023-11-22T15:00:00Z,36405.9,36642.6,36231.1,36487.4,8685.569
2023-11-22T16:00:00Z,36487.4,36587.9,36367.8,36476.2,3952.78
2023-11-22T17:00:00Z,36476.2,36659.5,36455.4,36596.0,3650.171
2023-11-22T18:00:00Z,36596.0,37328.2,36570.0,37209.6,21643.188
2023-11-22T19:00:00Z,37209.6,37456.6,37127.7,37299.9,9408.936
2023-11-22T20:00:00Z,37299.9,37645.4,37220.8,37633.5,9126.932
2023-11-22T21:00:00Z,37633.5,37888.0,37521.4,37622.2,14581.845
2023-11-22T22:00:00Z,37622.2,37775.6,37386.7,37455.1,6647.287
2023-11-22T23:00:00Z,37455.1,37500.0,37263.3,37424.0,6409.665
2023-11-23T00:00:00Z,37424.0,37563.1,37316.0,37322.5,4220.009
2023-11-23T01:00:00Z,37322.5,37500.0,37322.4,37428.6,2047.105
2023-11-23T02:00:00Z,37428.6,37462.7,37323.2,37355.0,1955.477
2023-11-23T03:00:00Z,37355.0,37400.0,37270.3,37314.1,2317.44
2023-11-23T04:00:00Z,37314.1,37426.6,37281.3,37353.5,1816.97
2023-11-23T05:00:00Z,37353.5,37436.8,37330.0,37346.1,1329.286
2023-11-23T06:00:00Z,37346.1,37360.2,37285.0,37286.9,1571.761
2023-11-23T07:00:00Z,37286.9,37388.0,37286.9,37387.2,1861.143
2023-11-23T08:00:00Z,37387.2,37543.0,37374.0,37521.7,3875.754
2023-11-23T09:00:00Z,37521.7,37677.0,37469.0,37662.0,3597.415
2023-11-23T10:00:00Z,37662.0,37670.0,37458.0,37483.4,3290.667
2023-11-23T11:00:00Z,37483.4,37488.0,37100.0,37385.7,9794.835
2023-11-23T12:00:00Z,37385.7,37550.0,37270.7,37314.9,6204.602
2023-11-23T13:00:00Z,37314.9,37412.7,37220.8,37249.4,3372.134
2023-11-23T14:00:00Z,37249.4,37313.1,37109.9,37206.9,4454.725
2023-11-23T15:00:00Z,37206.9,37252.0,36867.3,36951.1,9481.369
2023-11-23T16:00:00Z,36951.1,37180.0,36921.0,37084.2,4512.631
2023-11-23T17:00:00Z,37084.2,37248.0,37082.0,37178.9,3334.007
2023-11-23T18:00:00Z,37178.9,37311.0,37170.8,37264.2,2274.902
2023-11-23T19:00:00Z,37264.2,37372.8,37184.1,37283.3,2547.586
2023-11-23T20:00:00Z,37283.3,37417.9,37278.2,37291.7,2495.497
2023-11-23T21:00:00Z,37291.7,37386.8,37249.1,37255.9,1993.787
2023-11-23T22:00:00Z,37255.9,37310.0,37180.0,37308.3,1950.282
2023-11-23T23:00:00Z,37308.3,37392.2,37254.0,37297.7,1802.878
2023-11-24T00:00:00Z,37297.7,37339.9,37256.6,37296.8,988.678
2023-11-24T01:00:00Z,37296.8,37485.0,37296.8,37394.5,4403.622
2023-11-24T02:00:00Z,37394.5,37444.4,37319.1,37381.1,1856.77
2023-11-24T03:00:00Z,37381.1,37396.0,37300.0,37315.2,1107.163
2023-11-24T04:00:00Z,37315.2,37365.9,37301.0,37350.8,988.985
2023-11-24T05:00:00Z,37350.8,37427.5,37303.5,37425.5,1250.496
2023-11-24T06:00:00Z,37425.5,37429.9,37359.7,37383.6,1430.365
2023-11-24T07:00:00Z,37383.6,37584.9,37349.5,37532.1,3875.178
2023-11-24T08:00:00Z,37532.1,37582.8,37434.0,37442.5,3510.251
2023-11-24T09:00:00Z,37442.5,37752.9,37442.5,37646.1,7810.03
2023-11-24T10:00:00Z,37646.1,38049.0,37580.0,37618.8,17792.617
2023-11-24T11:00:00Z,37618.8,38388.0,37573.0,37760.5,20029.116
2023-11-24T12:00:00Z,37760.5,38004.8,37703.5,37735.3,9461.329
2023-11-24T13:00:00Z,37735.3,37879.4,37636.7,37788.0,7174.128
2023-11-24T14:00:00Z,37788.0,37824.8,37608.0,37809.2,5146.708
2023-11-24T15:00:00Z,37809.2,38435.7,37788.1,38235.5,26562.375
2023-11-24T16:00:00Z,38235.5,38369.4,37553.6,37747.4,18308.986
2023-11-24T17:00:00Z,37747.4,37936.3,37664.8,37860.0,8175.009
2023-11-24T18:00:00Z,37860.0,37907.3,37580.0,37733.0,5495.705
2023-11-24T19:00:00Z,37733.0,37800.0,37618.6,37770.1,2753.455
2023-11-24T20:00:00Z,37770.1,37894.9,37732.0,37832.5,2127.992
2023-11-24T21:00:00Z,37832.5,37978.0,37781.4,37837.9,3163.486
2023-11-24T22:00:00Z,37837.9,37850.0,37642.2,37686.9,3278.466
2023-11-24T23:00:00Z,37686.9,37735.1,37580.0,37725.0,2557.133
2023-11-25T00:00:00Z,37725.0,37786.8,37681.6,37730.0,1461.088
2023-11-25T01:00:00Z,37730.0,37835.0,37722.8,37799.3,1399.092
2023-11-25T02:00:00Z,37799.3,37839.3,37727.0,37836.1,1281.832
2023-11-25T03:00:00Z,37836.1,37856.9,37773.5,37810.7,1491.827
2023-11-25T04:00:00Z,37810.7,37810.7,37750.7,37788.2,857.31
2023-11-25T05:00:00Z,37788.2,37829.9,37733.4,37825.0,910.418
2023-11-25T06:00:00Z,37825.0,37838.9,37792.1,37807.8,732.529
2023-11-25T07:00:00Z,37807.8,37836.9,37744.9,37811.5,1009.194
2023-11-25T08:00:00Z,37811.5,37846.0,37769.1,37773.2,968.61
2023-11-25T09:00:00Z,37773.2,37787.3,37683.7,37752.1,1618.987
2023-11-25T10:00:00Z,37752.1,37752.2,37644.0,37695.7,2674.804
2023-11-25T11:00:00Z,37695.7,37726.1,37582.8,37660.3,3173.997
2023-11-25T12:00:00Z,37660.3,37736.2,37644.8,37736.1,1239.01
2023-11-25T13:00:00Z,37736.1,37746.4,37650.3,37729.2,1508.643
2023-11-25T14:00:00Z,37729.2,37730.9,37653.7,37683.8,996.862
2023-11-25T15:00:00Z,37683.8,37718.7,37622.9,37710.0,1255.447
2023-11-25T16:00:00Z,37710.0,37768.9,37702.9,37750.0,1057.849
2023-11-25T17:00:00Z,37750.0,37818.5,37743.6,37774.0,1313.563
2023-11-25T18:00:00Z,37774.0,37829.0,37761.7,37828.5,1006.86
2023-11-25T19:00:00Z,37828.5,37854.5,37791.1,37823.1,1300.555
2023-11-25T20:00:00Z,37823.1,37900.0,37771.8,37796.7,2049.243
2023-11-25T21:00:00Z,37796.7,37821.8,37772.3,37801.9,852.357
2023-11-25T22:00:00Z,37801.9,37802.0,37705.2,37729.0,1072.275
2023-11-25T23:00:00Z,37729.0,37811.6,37720.0,37791.0,493.568
2023-11-26T00:00:00Z,37791.0,37799.0,37744.5,37755.0,456.351
2023-11-26T01:00:00Z,37755.0,37755.0,37684.0,37691.6,1044.726
2023-11-26T02:00:00Z,37691.6,37762.0,37671.5,37748.3,916.79
2023-11-26T03:00:00Z,37748.3,37759.2,37729.7,37738.3,331.267
2023-11-26T04:00:00Z,37738.3,37768.6,37705.0,37765.9,689.894
2023-11-26T05:00:00Z,37765.9,37790.1,37747.0,37786.2,535.843
2023-11-26T06:00:00Z,37786.2,37798.0,37738.1,37798.0,925.988
2023-11-26T07:00:00Z,37798.0,37808.0,37762.1,37791.4,743.925
2023-11-26T08:00:00Z,37791.4,37827.0,37766.0,37771.9,790.757
2023-11-26T09:00:00Z,37771.9,37800.6,37750.0,37775.5,923.102
2023-11-26T10:00:00Z,37775.5,37775.6,37713.5,37713.6,739.99
2023-11-26T11:00:00Z,37713.6,37737.9,37678.7,37694.1,1836.64
2023-11-26T12:00:00Z,37694.1,37697.7,37318.4,37649.6,11770.868
2023-11-26T13:00:00Z,37649.6,37650.0,37331.0,37536.0,6288.602
2023-11-26T14:00:00Z,37536.0,37544.7,37255.0,37368.0,7400.667
2023-11-26T15:00:00Z,37368.0,37528.7,37313.8,37454.8,3967.875
2023-11-26T16:00:00Z,37454.8,37530.5,37124.4,37242.0,9992.931
2023-11-26T17:00:00Z,37242.0,37342.4,37161.2,37295.2,3054.574
2023-11-26T18:00:00Z,37295.2,37353.1,37180.0,37263.6,2563.028
2023-11-26T19:00:00Z,37263.6,37411.1,37249.0,37394.0,1718.954
2023-11-26T20:00:00Z,37394.0,37679.2,37372.0,37611.7,7028.945
2023-11-26T21:00:00Z,37611.7,37665.6,37480.2,37634.8,2669.925
2023-11-26T22:00:00Z,37634.8,37769.6,37617.0,37668.2,3676.421
2023-11-26T23:00:00Z,37668.2,37674.2,37320.0,37455.4,7382.396
2023-11-27T00:00:00Z,37455.4,37565.9,37388.1,37490.0,2594.394
2023-11-27T01:00:00Z,37490.0,37569.3,37457.0,37491.5,1417.929
2023-11-27T02:00:00Z,37491.5,37505.7,37222.9,37320.8,3861.12
